cnt,pos,speed,DTorque,STorque,Force,,,,
1988,11.9536,0.003,8,0,3,1.171875,10.546875,160,33
1989,11.9536,-0.003,8,0,3,1.171875,11.328125,161,33
1990,11.9536,0.003,8,0,3,1.171875,12.109375,162,33
1991,11.9536,0,8,0,3,1.171875,12.5,163,33
1992,11.9536,-0.003,8,0,3,1.171875,12.890625,164,33
1993,11.9536,0.0061,8,0,3,1.171875,12.890625,165,34
1994,11.9536,0.003,8,0,3,1.171875,13.671875,166,34
1995,11.9536,-0.0061,8,0,3,1.171875,14.0625,167,34
1996,11.9536,-0.0091,8,0,3,1.171875,14.453125,168,34
1997,11.9536,0,8,0,3,1.171875,14.84375,169,34
1998,11.9536,0.003,8,0,3,1.171875,15.234375,170,35
1999,11.9536,-0.0061,8,0,3,1.171875,15.625,171,35
2000,11.9536,0.0061,8,0,3,1.171875,15.625,172,35
2001,11.9536,-0.0061,8,0,3,1.171875,16.40625,173,35
2002,11.9536,-0.0061,7,0,3,1.171875,16.40625,174,35
2003,11.9536,-0.0091,8,0,3,1.171875,16.40625,175,36
2004,11.9536,0.0061,8,0,3,1.171875,16.796875,176,36
2005,11.9536,0.0091,8,0,3,1.171875,17.1875,177,36
2006,11.9536,-0.003,8,0,3,1.171875,17.578125,178,36
2007,11.9536,-0.0061,8,0,3,1.171875,18.359375,179,36
2008,11.9536,0.0061,8,0,3,1.171875,18.359375,180,37
2009,11.9536,0.003,8,0,3,1.171875,18.75,181,37
2010,11.9536,-0.0091,8,0,3,1.171875,18.75,182,37
2011,11.9536,0.003,8,0,3,1.171875,19.140625,183,37
2012,11.9536,0.0061,8,0,3,1.171875,19.53125,184,37
2013,11.9536,-0.0122,7,0,3,1.171875,20.3125,185,38
2014,11.9536,-0.0061,8,0,3,1.171875,19.921875,186,38
2015,11.9536,0.0152,8,0,3,1.171875,19.921875,187,38
2016,11.9536,0.003,7,0,3,1.171875,20.703125,188,38
2017,11.9536,-0.0122,8,0,3,1.171875,21.09375,189,38
2018,11.9536,0.0061,8,0,3,1.171875,21.09375,190,39
2019,11.9536,0,8,0,3,1.171875,21.875,191,39
2020,11.9536,-0.0091,8,0,3,1.171875,21.875,192,39
2021,11.9536,0.0061,8,0,3,1.171875,22.265625,193,39
2022,11.9536,-0.003,8,0,3,1.171875,22.265625,194,39
2023,11.9536,0.0061,8,0,3,1.171875,22.65625,195,40
2024,11.9536,-0.0091,7,0,3,1.171875,23.4375,196,40
2025,11.9536,-0.0061,8,0,3,1.171875,23.828125,197,40
2026,11.9536,0.0061,7,0,3,1.171875,23.828125,198,40
2027,11.9536,0.003,7,0,3,1.171875,24.609375,199,40
2028,11.9536,0.0061,8,0,3,1.171875,25,200,41
2029,11.9536,-0.003,7,0,3,1.171875,25,201,41
2030,11.9536,-0.0091,7,0,3,1.171875,25.390625,202,41
2031,11.9536,-0.0061,7,0,3,1.171875,25.78125,203,41
2032,11.9536,0,7,0,3,1.171875,26.171875,204,41
2033,11.9536,0,7,0,3,1.171875,26.171875,205,42
2034,11.9536,0.003,8,0,3,1.171875,26.5625,206,42
2035,11.9536,-0.003,8,0,3,1.171875,26.953125,207,42
2036,11.9536,-0.0061,7,0,3,1.171875,26.953125,208,42
2037,11.9536,-0.0091,7,0,3,1.171875,27.734375,209,42
2038,11.9536,-0.003,7,0,3,1.171875,28.125,210,43
2039,11.9536,0.003,7,0,3,1.171875,28.125,211,43
2040,11.9536,0.0122,8,0,3,1.171875,28.125,212,43
2041,11.9536,0.003,7,0,3,1.171875,28.515625,213,43
2042,11.9536,-0.0091,8,0,3,1.171875,28.90625,214,43
2043,11.9536,0,7,0,3,1.171875,29.296875,215,44
2044,11.9536,-0.0061,8,0,3,1.171875,29.296875,216,44
2045,11.9536,0,8,0,3,1.171875,29.6875,217,44
2046,11.9536,0.0061,7,0,3,1.171875,30.078125,218,44
2047,11.9536,-0.0091,7,0,3,1.171875,30.078125,219,44
2048,11.9536,0.0061,8,0,3,1.171875,30.859375,220,45
2049,11.9536,-0.0061,8,0,3,1.171875,30.859375,221,45
2050,11.9536,0,8,0,3,1.171875,31.25,222,45
2051,11.9536,-0.0061,8,0,3,1.171875,31.25,223,45
2052,11.9536,-0.0061,7,0,3,1.171875,31.640625,224,45
2053,11.9536,0.0122,7,0,3,1.171875,31.640625,225,46
2054,11.9536,0.0061,7,0,3,1.171875,32.03125,226,46
2055,11.9536,-0.003,7,0,3,1.171875,32.03125,227,46
2056,11.9536,-0.0152,7,0,3,1.171875,32.8125,228,46
2057,11.9536,0.003,7,0,3,1.171875,33.203125,229,46
2058,11.9536,-0.003,7,0,3,1.171875,33.203125,230,47
2059,11.9536,0.0061,7,0,3,1.171875,33.59375,231,47
2060,11.9536,0.0061,7,0,3,1.171875,33.59375,232,47
2061,11.9536,0.003,8,0,3,1.171875,33.984375,233,47
2062,11.9536,-0.0061,7,0,3,1.171875,33.59375,234,47
2063,11.9536,-0.003,7,0,3,1.171875,33.59375,235,48
2064,11.9536,0,7,0,3,1.171875,33.984375,236,48
2065,11.9536,0,7,0,3,1.171875,34.375,237,48
2066,11.9536,0,7,0,3,1.171875,34.375,238,48
2067,11.9536,-0.003,7,0,3,1.171875,34.765625,239,48
2068,11.9536,-0.0061,7,0,3,1.171875,35.15625,240,49
2069,11.9536,0,7,0,3,1.171875,34.765625,241,49
2070,11.9536,-0.003,7,0,3,1.171875,35.15625,242,49
2071,11.9536,-0.003,7,0,3,1.171875,35.15625,243,49
2072,11.9536,0.0061,8,0,3,1.171875,35.546875,244,49
2073,11.9536,-0.003,8,0,3,1.171875,35.15625,245,50
2074,11.9536,-0.0061,8,0,3,1.171875,35.15625,246,50
2075,11.9536,-0.003,7,0,3,1.171875,35.546875,247,50
2076,11.9536,0.0061,7,0,3,1.171875,35.546875,248,50
2077,11.9536,0,7,0,3,1.171875,35.546875,249,50
2078,11.9536,-0.003,7,0,3,1.171875,35.15625,250,51
2079,11.9536,0.0061,7,0,3,1.171875,35.9375,251,51
2080,11.9536,0.0061,7,0,3,1.171875,35.9375,252,51
2081,11.9536,0,7,0,3,1.171875,36.328125,253,51
2082,11.9536,0.003,7,0,3,1.171875,35.9375,254,51
2083,11.9536,-0.003,7,0,3,1.171875,35.9375,255,52
2084,11.9536,-0.0091,7,0,3,1.171875,35.9375,256,52
2085,11.9536,0.003,7,0,3,1.171875,35.9375,257,52
2086,11.9536,-0.003,7,0,3,1.171875,36.328125,258,52
2087,11.9536,0.003,7,0,3,1.171875,36.328125,259,52
2088,11.9536,0.0091,7,0,3,1.171875,35.546875,260,53
2089,11.9536,-0.0061,7,0,3,1.171875,35.9375,261,53
2090,11.9536,-0.0091,7,0,3,1.171875,35.9375,262,53
2091,11.9536,0.0061,7,0,3,1.171875,36.328125,263,53
2092,11.9536,0.003,7,0,3,1.171875,35.546875,264,53
2093,11.9536,-0.0122,7,0,3,1.171875,35.546875,265,54
2094,11.9537,0.0061,7,0,3,1.171875,35.9375,266,54
2095,11.9536,0,7,0,3,1.171875,35.9375,267,54
2096,11.9536,0.0091,7,0,3,1.171875,35.546875,268,54
2097,11.9536,-0.0091,7,0,3,1.171875,35.9375,269,54
2098,11.9537,0.003,7,0,3,1.171875,35.9375,270,55
2099,11.9536,0.0061,7,0,3,1.171875,35.9375,271,55
2100,11.9536,-0.0061,7,0,3,1.171875,35.546875,272,55
2101,11.9537,-0.003,7,0,3,1.171875,35.546875,273,55
2102,11.9537,0,7,0,3,1.171875,35.9375,274,55
2103,11.9536,-0.003,7,0,3,1.171875,35.9375,275,56
2104,11.9536,0,7,0,3,1.171875,36.328125,276,56
2105,11.9537,-0.0061,7,0,3,1.171875,35.9375,277,56
2106,11.9537,0.0061,7,0,3,1.171875,35.9375,278,56
2107,11.9537,0.003,7,0,3,1.171875,36.328125,279,56
2108,11.9536,0.0213,7,0,3,1.171875,36.328125,280,57
2109,11.9536,-0.0091,7,0,3,1.171875,36.71875,281,57
2110,11.9537,-0.003,7,0,3,1.171875,35.9375,282,57
2111,11.9537,0.003,7,0,3,1.171875,36.71875,283,57
2112,11.9537,-0.003,7,0,3,1.171875,36.71875,284,57
2113,11.9537,-0.0091,7,0,3,1.171875,36.71875,285,58
2114,11.9537,-0.003,7,0,3,1.171875,36.328125,286,58
2115,11.9537,0,7,0,3,1.171875,35.9375,287,58
2116,11.9537,-0.003,7,0,3,1.171875,36.328125,288,58
2117,11.9537,0,7,0,3,1.171875,36.328125,289,58
2118,11.9537,0.0091,7,0,3,1.171875,36.328125,290,59
2119,11.9537,-0.0061,7,0,3,1.171875,36.328125,291,59
2120,11.9537,-0.0122,7,0,3,1.171875,35.9375,292,59
2121,11.9537,-0.0061,7,0,3,1.171875,36.328125,293,59
2122,11.9537,0.003,7,0,3,1.171875,35.9375,294,59
2123,11.9537,0.0122,7,0,3,1.171875,35.9375,295,60
2124,11.9537,-0.0091,7,0,3,1.171875,36.328125,296,60
2125,11.9537,-0.0061,7,0,3,1.171875,35.546875,297,60
2126,11.9537,0.0091,7,0,3,1.171875,35.9375,298,60
2127,11.9537,0.0091,7,0,3,1.171875,35.9375,299,60
2128,11.9537,-0.003,7,0,3,1.171875,35.9375,300,61
2129,11.9537,0.003,7,0,3,1.171875,35.546875,301,61
2130,11.9537,-0.0061,7,0,3,1.171875,36.328125,302,61
2131,11.9537,0.0061,7,0,3,1.171875,36.71875,303,61
2132,11.9537,0.003,7,0,3,1.171875,36.71875,304,61
