cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
307,106.128,-0,0,0,0,0,0,0,0,0,0,0
308,106.128,-0,0,0,0,0,0,0,0,0,0,0
309,106.128,-0,0,0,-1,0,0,0,0,0,0,0
310,106.128,-0,0,0,0,0,0,0,0,0,0,0
311,106.128,-0,0,0,0,0,0,0,0,0,0,0
312,106.126,-0,-2.1572,0,2,0,0,0,0,0,0,0
313,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
314,106.126,-0,0,0,0,0,0,0,0,0,0,0
315,106.126,-0,0,0,0,0,0,0,0,0,0,0
316,106.126,-0,0,0,0,0,0,0,0,0,0,0
317,106.126,-0,0,0,0,0,0,0,0,0,0,0
318,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
319,106.128,-0,0,0,-1,0,0,0,0,0,0,0
320,106.126,-0,0,0,0,0,0,0,0,0,0,0
321,106.124,-0,-2.1572,0,-1,0,0,0,0,0,0,0
322,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
323,106.126,-0,0,0,0,0,0,0,0,0,0,0
324,106.126,-0,0,0,1,0,0,0,0,0,0,0
325,106.124,-0,2.1572,0,0,0,0,0,0,0,0,0
326,106.126,-0,0,0,-1,0,0,0,0,0,0,0
327,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
328,106.126,-0,0,0,0,0,0,0,0,0,0,0
329,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
330,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
331,106.126,-0,0,0,0,0,0,0,0,0,0,0
332,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
333,106.126,-0,0,0,0,0,0,0,0,0,0,0
334,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
335,106.128,-0,0,0,0,0,0,0,0,0,0,0
336,106.128,-0,-2.1572,0,-1,0,0,0,0,0,0,0
337,106.128,-0,0,0,1,0,0,0,0,0,0,0
338,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
339,106.126,-0,0,0,0,0,0,0,0,0,0,0
340,106.126,-0,0,0,-1,0,0,0,0,0,0,0
341,106.128,-0,0,0,0,0,0,0,0,0,0,0
342,106.128,-0,0,0,0,0,0,0,0,0,0,0
343,106.126,-0,0,0,0,0,0,0,0,0,0,0
344,106.128,-0,0,0,0,0,0,0,0,0,0,0
345,106.126,-0,0,0,0,0,0,0,0,0,0,0
