cnt,pos,speed,DTorque,DAC,STorque
288,-173.173,0.0012,0,0,0
289,-173.173,0.0012,0,0,0
290,-173.173,0,0,0,0
291,-173.173,-0.0012,0,0,0
292,-173.173,0,0,0,0
293,-173.173,0.0012,0,0,0
294,-173.173,0.0048,0,0,0
295,-173.173,0,0,0,0
296,-173.173,-0.0012,0,0,0
297,-173.173,0.0024,0,0,0
298,-173.173,0,0,0,0
299,-173.173,-0.0012,0,0,0
300,-173.173,0.0024,0,0,0
301,-173.173,0,0,0,0
302,-173.173,0.0012,0,0,0
303,-173.173,0,0,0,0
304,-173.173,-0.0036,0,0,0
305,-173.173,-0.0036,0,0,0
306,-173.173,0.0012,0,0,0
307,-173.173,0.0048,0,0,0
308,-173.173,-0.0012,0,0,0
309,-173.173,0.0012,0,0,0
310,-173.173,-0.0024,0,0,0
311,-173.173,0,0,0,0
312,-173.173,0,0,0,0
313,-173.173,-0.0012,0,0,0
314,-173.173,-0.0012,0,0,0
315,-173.173,-0.0012,0,0,0
316,-173.173,-0.0024,0,0,0
317,-173.173,0.0024,0,0,0
318,-173.173,0.0036,0,0,0
319,-173.173,0,0,0,0
320,-173.173,-0.0048,0,0,0
321,-173.173,0,0,0,0
322,-173.173,0.0012,0,0,0
323,-173.173,-0.0024,0,0,0
324,-173.173,0.0012,0,0,0
325,-173.173,-0.0024,0,0,0
326,-173.173,-0.0012,0,0,0
327,-173.173,-0.0024,0,0,0
328,-173.173,0.0012,0,0,0
329,-173.173,0.0024,0,0,0
330,-173.173,0.0012,0,0,0
331,-173.173,0,0,0,0
332,-173.173,0.0036,0,0,0
333,-173.173,0,0,0,0
334,-173.173,-0.0012,0,0,0
335,-173.173,-0.0012,0,0,0
336,-173.173,0.0012,0,0,0
337,-173.173,-0.0012,0,0,0
338,-173.173,0,0,0,0
339,-173.173,0,0,0,0
340,-173.173,0.0012,0,0,0
341,-173.173,0,0,0,0
342,-173.173,0,0,0,0
343,-173.173,0,0,0,0
344,-173.173,0,0,0,0
345,-173.173,-0.0036,0,0,0
346,-173.173,-0.0012,0,0,0
347,-173.173,0.0012,0,0,0
348,-173.173,-0.0024,0,0,0
349,-173.173,0.0012,0,0,0
350,-173.173,-0.0012,0,0,0
351,-173.173,-0.0036,0,0,0
352,-173.173,-0.0012,0,0,0
353,-173.173,0.0012,0,0,0
354,-173.173,-0.0012,0,0,0
355,-173.173,0,0,0,0
356,-173.173,0.0036,0,0,0
357,-173.173,0,0,0,0
358,-173.173,-0.0012,0,0,0
359,-173.173,0.0012,0,0,0
360,-173.173,0.0012,0,0,0
361,-173.173,-0.0012,0,0,0
362,-173.173,0.0024,0,0,0
363,-173.173,0,0,0,0
364,-173.173,0.0036,0,0,0
365,-173.173,0.0012,0,0,0
366,-173.173,0,0,0,0
367,-173.173,-0.0012,0,0,0
368,-173.173,0,0,0,0
369,-173.173,0,0,0,0
370,-173.173,0.0048,0,0,0
371,-173.173,-0.0012,0,0,0
372,-173.173,-0.0024,0,0,0
373,-173.173,0.0024,0,0,0
374,-173.173,0.0036,0,0,0
375,-173.173,-0.006,0,0,0
376,-173.173,0.0036,0,0,0
377,-173.173,0,0,0,0
378,-173.173,0.0012,0,0,0
379,-173.173,0.0024,0,0,0
380,-173.173,0.0024,0,0,0
381,-173.173,-0.0024,0,0,0
382,-173.173,-0.0012,0,0,0
383,-173.173,-0.0012,0,0,0
384,-173.173,-0.0012,0,0,0
385,-173.173,0,0,0,0
386,-173.173,-0.0024,0,0,0
387,-173.173,0.0012,0,0,0
388,-173.173,0.0012,0,0,0
389,-173.173,0,0,0,0
390,-173.173,0,0,0,0
391,-173.173,0,0,0,0
392,-173.173,0,0,0,0
393,-173.173,-0.0024,0,0,0
394,-173.173,0,0,0,0
395,-173.173,0,0,0,0
396,-173.173,0.0048,0,0,0
397,-173.173,-0.0012,0,0,0
398,-173.173,-0.0024,0,0,0
399,-173.173,-0.0012,0,0,0
400,-173.173,0.0036,0,0,0
401,-173.173,0.0012,0,0,0
402,-173.173,0,0,0,0
403,-173.173,0,0,0,0
404,-173.173,-0.0024,0,0,0
405,-173.173,0.0012,0,0,0
406,-173.173,0.0036,0,0,0
407,-173.173,-0.0012,0,0,0
408,-173.173,-0.006,0,0,0
409,-173.173,-0.0024,0,0,0
410,-173.173,0.0024,0,0,0
411,-173.173,0,0,0,0
412,-173.173,-0.0024,0,0,0
413,-173.173,0,0,0,0
414,-173.173,-0.0024,0,0,0
415,-173.173,-0.0012,0,0,0
416,-173.173,0.0024,0,0,0
417,-173.173,-0.0012,0,0,0
418,-173.173,0.0012,0,0,0
419,-173.173,-0.0024,0,0,0
420,-173.173,0,0,0,0
421,-173.173,0.006,0,0,0
422,-173.173,0.0024,0,0,0
423,-173.173,-0.0024,0,0,0
424,-173.173,0.0024,0,0,0
425,-173.173,0.0024,0,0,0
426,-173.173,-0.0012,0,0,0
427,-173.173,-0.0036,0,0,0
428,-173.173,0.0012,0,0,0
429,-173.173,0.0036,0,0,0
430,-173.173,-0.006,0,0,0
431,-173.173,0,0,0,0
432,-173.173,0,0,0,0
433,-173.173,0,0,0,0
434,-173.173,-0.0012,0,0,0
435,-173.173,-0.0012,0,0,0
436,-173.173,-0.0012,0,0,0
437,-173.173,0.0012,0,0,0
438,-173.173,-0.0036,0,0,0
439,-173.173,-0.0012,0,0,0
440,-173.173,-0.0012,0,0,0
441,-173.173,0.0012,0,0,0
442,-173.173,0.0024,0,0,0
443,-173.173,-0.0024,0,0,0
444,-173.173,0,0,0,0
445,-173.173,-0.0036,0,0,0
