cnt,pos,speed,DTorque,DAC,STorque
464,-245.002,-0.0203,-12,0,0
465,-245.002,-0.0262,-12,0,0
466,-245.002,-0.0215,-12,0,0
467,-245.002,-0.0131,-12,0,0
468,-245.002,-0.0024,-12,0,0
469,-245.002,-0.0024,-12,0,0
470,-245.002,-0.0036,-12,0,0
471,-245.002,-0.006,-12,0,0
472,-245.002,0.0191,-12,0,0
473,-245.002,0.0203,-12,0,0
474,-245.002,0.0167,-12,0,0
475,-245.002,0.0012,-12,0,0
476,-245.002,-0.0119,-12,0,0
477,-245.002,-0.0167,-11,0,0
478,-245.002,-0.0155,-12,0,0
479,-245.002,-0.0036,-11,0,0
480,-245.002,0.0143,-11,0,0
481,-245.002,0.0131,-12,0,0
482,-245.002,0.006,-12,0,0
483,-245.002,0.0024,-11,0,0
484,-245.002,-0.006,-11,0,0
485,-245.002,0.0024,-11,0,0
486,-245.002,0.0155,-11,0,0
487,-245.002,0.0179,-11,0,0
488,-245.002,-0.0024,-11,0,0
489,-245.002,-0.0072,-11,0,0
490,-245.002,-0.006,-11,0,0
491,-245.002,0.0036,-11,0,0
492,-245.002,0.0072,-11,0,0
493,-245.002,0.0095,-11,0,0
494,-245.002,0.0095,-11,0,0
495,-245.002,0.0095,-11,0,0
496,-245.002,0.0131,-10,0,0
497,-245.002,0.0072,-11,0,0
498,-245.002,0.0012,-10,0,0
499,-245.002,-0.0024,-10,0,0
500,-245.002,-0.0036,-10,0,0
501,-245.002,-0.0024,-10,0,0
502,-245.002,-0.0012,-10,0,0
503,-245.002,0.0036,-10,0,0
504,-245.002,0.0095,-10,0,0
505,-245.001,0.0131,-10,0,0
506,-245.001,0.006,-10,0,0
507,-245.001,0.0012,-10,0,0
508,-245.001,-0.0024,-10,0,0
509,-245.001,0.0012,-10,0,0
510,-245.001,0.0036,-10,0,0
511,-245.001,-0.0012,-10,0,0
512,-245.001,-0.0024,-10,0,0
513,-245.001,-0.0012,-10,0,0
514,-245.001,0.0048,-9,0,0
515,-245.001,0.0072,-10,0,0
516,-245.001,0.0083,-10,0,0
517,-245.001,0.0107,-9,0,0
518,-245.001,0.0072,-10,0,0
519,-245.001,0.0107,-9,0,0
520,-245.001,0.0083,-9,0,0
521,-245.001,0.0072,-9,0,0
522,-245.001,0.0036,-9,0,0
523,-245.001,0.0083,-9,0,0
524,-245.001,0.0012,-9,0,0
525,-245.001,0.0012,-9,0,0
526,-245.001,0.0012,-9,0,0
527,-245.001,0,-9,0,0
528,-245.001,-0.0012,-9,0,0
529,-245.001,-0.0012,-9,0,0
530,-245.001,-0.0012,-9,0,0
531,-245.001,0.0036,-9,0,0
532,-245.001,0.0072,-9,0,0
533,-245.001,0.006,-9,0,0
534,-245.001,0,-9,0,0
535,-245.001,-0.0012,-9,0,0
536,-245.001,0.0024,-9,0,0
537,-245.001,-0.0036,-9,0,0
538,-245.001,0,-9,0,0
539,-245.001,-0.0036,-9,0,0
540,-245.001,0.0012,-9,0,0
541,-245.001,0.0036,-9,0,0
542,-245.001,0.0036,-9,0,0
543,-245.001,0.0083,-9,0,0
544,-245.001,0.0036,-8,0,0
545,-245.001,0.0095,-8,0,0
546,-245.001,0.0107,-8,0,0
547,-245.001,0.0083,-9,0,0
548,-245.001,0.006,-9,0,0
549,-245.001,0.006,-8,0,0
550,-245.001,0.0107,-8,0,0
551,-245.001,0.0119,-9,0,0
552,-245.001,0.0107,-8,0,0
553,-245.001,0.006,-8,0,0
554,-245.001,0.0036,-8,0,0
555,-245.001,-0.0012,-8,0,0
556,-245.001,-0.0012,-8,0,0
557,-245.001,0,-8,0,0
558,-245.001,0.0012,-8,0,0
559,-245.001,0.006,-8,0,0
560,-245.001,0.0036,-8,0,0
561,-245.001,-0.0024,-8,0,0
562,-245.001,-0.0024,-8,0,0
563,-245.001,-0.0036,-8,0,0
564,-245.001,0,-8,0,0
565,-245.001,0.0012,-8,0,0
566,-245.001,0.0048,-8,0,0
567,-245.001,0.0036,-8,0,0
568,-245.001,0.0024,-8,0,0
569,-245.001,-0.0012,-8,0,0
570,-245.001,-0.0048,-8,0,0
571,-245.001,-0.0012,-8,0,0
572,-245.001,0.0012,-8,0,0
573,-245.001,0.006,-8,0,0
574,-245.001,0.0095,-8,0,0
575,-245.001,0.0083,-8,0,0
576,-245.001,0.0131,-8,0,0
577,-245.001,0.0095,-8,0,0
578,-245.001,0.0072,-8,0,0
579,-245.001,0.0048,-8,0,0
580,-245.001,0.0048,-8,0,0
581,-245.001,0.0024,-8,0,0
582,-245.001,0.0024,-8,0,0
583,-245.001,0.0107,-7,0,0
584,-245.001,0.0095,-8,0,0
585,-245.001,0.0083,-8,0,0
586,-245.001,0.006,-8,0,0
587,-245.001,0.0012,-8,0,0
588,-245.001,0.0012,-7,0,0
589,-245.001,0.0036,-8,0,0
590,-245.001,-0.0012,-7,0,0
591,-245.001,0.0024,-8,0,0
592,-245.001,0,-7,0,0
593,-245.001,0.0012,-7,0,0
594,-245.001,-0.0024,-7,0,0
595,-245.001,-0.0024,-7,0,0
596,-245.001,0,-7,0,0
597,-245.001,0.0024,-7,0,0
598,-245.001,-0.0024,-7,0,0
599,-245.001,-0.0024,-7,0,0
600,-245.001,-0.0024,-7,0,0
601,-245.001,0.0012,-7,0,0
602,-245.001,0.0095,-7,0,0
603,-245.001,0.006,-7,0,0
604,-245.001,0.0048,-7,0,0
605,-245.001,0.0024,-7,0,0
606,-245.001,0,-7,0,0
607,-245.001,0.0048,-7,0,0
608,-245.001,0.0048,-7,0,0
609,-245.001,0.0072,-7,0,0
610,-245.001,0.0107,-7,0,0
611,-245.001,0.0072,-7,0,0
612,-245.001,0.0072,-7,0,0
613,-245.001,0.0083,-7,0,0
614,-245.001,0.006,-7,0,0
615,-245.001,0.0036,-7,0,0
616,-245.001,0.0048,-7,0,0
617,-245.001,0.0024,-7,0,0
618,-245.001,-0.0012,-7,0,0
619,-245.001,0.0036,-7,0,0
620,-245.001,0,-7,0,0
621,-245.001,0.0012,-7,0,0
622,-245.001,0.0024,-7,0,0
623,-245.001,-0.0012,-7,0,0
624,-245.001,-0.0048,-7,0,0
625,-245.001,-0.0012,-7,0,0
626,-245.001,-0.0036,-7,0,0
627,-245.001,0.0012,-7,0,0
628,-245.001,0.0036,-7,0,0
629,-245.001,0.0012,-7,0,0
630,-245.001,0.0036,-7,0,0
