cnt,pos,speed,DTorque,Force,Dir
4027,48.65,50.18,-3.00,0,-0.53,0
4028,48.61,47.44,-2.00,0,-0.35,0
4029,48.56,44.78,-2.00,0,-0.35,0
4030,48.52,42.13,-1.00,0,-0.18,0
4031,48.48,39.65,-1.00,0,-0.18,0
4032,48.44,36.90,0.00,0,0.00,0
4033,48.41,34.50,2.00,0,0.35,0
4034,48.38,31.89,2.00,0,0.35,0
4035,48.35,29.19,2.00,0,0.35,0
4036,48.32,26.66,3.00,0,0.53,0
4037,48.30,24.20,3.00,0,0.53,0
4038,48.27,19.09,2.00,0,0.35,0
4039,48.24,16.65,2.00,0,0.35,0
4040,48.22,14.23,2.00,0,0.35,0
4041,48.21,11.73,2.00,0,0.35,0
4042,48.20,9.42,2.00,0,0.35,0
4043,48.20,6.94,2.00,0,0.35,0
4044,48.19,4.56,2.00,0,0.35,0
4045,48.19,0.13,2.00,0,0.35,0
4046,48.19,-1.96,2.00,0,0.35,0
4047,48.19,-3.55,2.00,0,0.35,0
4048,48.19,-3.55,2.00,0,0.35,0
4049,48.20,-4.89,2.00,0,0.35,0
4050,48.21,-6.24,2.00,0,0.35,0
4051,48.21,-7.39,2.00,0,0.35,0
4052,48.22,-8.54,2.00,0,0.35,0
4053,48.23,-9.62,2.00,0,0.35,0
4054,48.25,-11.60,2.00,0,0.35,0
4055,48.27,-12.98,2.00,0,0.35,0
4056,48.28,-13.69,2.00,0,0.18,0
4057,48.30,-14.77,1.00,0,0.18,0
4058,48.31,-15.76,1.00,0,0.18,0
4059,48.33,-16.69,1.00,0,0.18,0
4060,48.35,-17.61,1.00,0,0.18,0
4061,48.36,-18.58,1.00,0,0.18,0
4062,48.38,-19.29,1.00,0,0.18,0
4063,48.40,-20.17,1.00,0,0.18,0
4064,48.42,-21.10,1.00,0,0.18,0
4065,48.45,-21.98,1.00,0,0.18,0
4066,48.47,-22.76,1.00,0,0.18,0
4067,48.49,-23.53,1.00,0,0.18,0
4068,48.52,-24.29,1.00,0,0.18,0
4069,48.54,-24.95,1.00,0,0.18,0
4070,48.57,-25.68,1.00,0,0.18,0
4071,48.59,-26.36,1.00,0,0.18,0
4072,48.62,-27.17,1.00,0,0.18,0
4073,48.65,-27.78,1.00,0,0.18,0
4074,48.68,-28.65,1.00,0,0.18,0
4075,48.71,-29.37,1.00,0,0.18,0
4076,48.74,-30.16,0.00,0,0.00,0
4077,48.77,-30.84,0.00,0,0.00,0
4078,48.80,-31.44,0.00,0,0.00,0
4079,48.83,-32.43,0.00,0,0.00,0
4080,48.87,-33.20,0.00,0,0.00,0
4081,48.90,-33.61,0.00,0,0.00,0
4082,48.93,-34.53,0.00,0,0.00,0
4083,48.97,-35.15,0.00,0,0.00,0
4084,49.00,-35.79,0.00,0,0.00,0
4085,49.04,-36.49,0.00,0,0.00,0
4086,49.08,-37.00,0.00,0,0.00,0
4087,49.12,-37.82,0.00,0,0.00,0
4088,49.15,-38.21,2.00,0,0.35,0
4089,49.19,-38.96,17.00,0,2.99,0
4090,49.23,-39.23,43.00,0,7.57,0
4091,49.27,-38.85,67.00,0,11.79,0
4092,49.31,-37.85,87.00,0,15.31,0
4093,49.35,-36.42,103.00,0,18.13,0
4094,49.38,-34.67,115.00,0,20.24,0
4095,49.41,-32.73,124.00,0,21.82,0
4096,49.44,-30.22,132.00,0,23.23,0
4097,49.47,-27.91,139.00,0,24.46,0
4098,49.50,-25.19,144.00,0,25.34,0
4099,49.52,-22.51,149.00,0,26.22,0
4100,49.54,-19.69,152.00,0,26.75,0
4101,49.55,-16.53,155.00,0,27.28,0
4102,49.57,-13.72,158.00,0,27.81,0
4103,49.58,-10.67,160.00,0,28.16,0
4104,49.59,-7.72,162.00,0,28.51,0
4105,49.59,-4.59,163.00,0,28.69,0
4106,49.59,-1.62,164.00,0,28.86,0
4107,49.59,1.31,165.00,0,29.04,0
4108,49.59,3.85,166.00,0,29.22,0
4109,49.58,6.29,167.00,0,29.39,0
4110,49.57,8.49,167.00,0,29.39,0
4111,49.56,10.32,167.00,0,29.39,0
4112,49.55,12.67,168.00,0,29.57,0
4113,49.54,14.41,169.00,0,29.74,0
4114,49.52,16.59,169.00,0,29.74,0
4115,49.50,18.50,170.00,0,29.92,0
4116,49.48,20.37,170.00,0,29.92,0
4117,49.46,22.23,170.00,0,29.92,0
4118,49.43,24.01,170.00,0,29.92,0
4119,49.41,25.73,170.00,0,29.92,0
4120,49.38,27.38,171.00,0,30.10,0
4121,49.35,29.02,171.00,0,30.10,0
4122,49.32,30.57,171.00,0,30.10,0
4123,49.29,32.05,170.00,0,29.92,0
4124,49.22,35.25,170.00,0,29.92,0
4125,49.18,36.83,170.00,0,29.92,0
4126,49.14,38.44,170.00,0,29.92,0
4127,49.10,39.97,170.00,0,29.92,0
4128,49.06,41.44,170.00,0,29.92,0
4129,49.02,43.13,170.00,0,29.92,0
4130,48.98,44.51,171.00,0,30.10,0
4131,48.93,45.66,171.00,0,30.10,0
4132,48.88,47.09,170.00,0,29.92,0
4133,48.83,48.45,43.00,0,7.57,0
4134,48.79,49.31,-2.00,0,-0.35,0
4135,48.69,44.69,-2.00,0,-0.35,0
4136,48.65,42.21,-2.00,0,-0.35,0
4137,48.61,39.56,-1.00,0,-0.18,0
4138,48.57,37.29,-1.00,0,-0.18,0
4139,48.54,34.67,0.00,0,0.00,0
4140,48.51,32.51,0.00,0,0.00,0
4141,48.48,30.14,1.00,0,0.18,0
4142,48.45,27.78,2.00,0,0.35,0
4143,48.40,23.26,3.00,0,0.53,0
4144,48.38,20.82,2.00,0,0.35,0
4145,48.38,18.62,2.00,0,0.35,0
4146,48.34,16.36,2.00,0,0.35,0
4147,48.33,14.14,2.00,0,0.35,0
4148,48.32,11.91,2.00,0,0.35,0
4149,48.31,9.87,2.00,0,0.35,0
4150,48.30,7.73,2.00,0,0.35,0
4151,48.30,5.45,2.00,0,0.35,0
4152,48.29,1.41,2.00,0,0.35,0
4153,48.29,-0.59,2.00,0,0.35,0
4154,48.29,-0.59,2.00,0,0.35,0
4155,48.29,-2.29,2.00,0,0.35,0
4156,48.30,-3.54,2.00,0,0.35,0
4157,48.30,-4.66,2.00,0,0.35,0
4158,48.31,-5.77,2.00,0,0.35,0
4159,48.31,-6.64,2.00,0,0.35,0
4160,48.32,-7.43,2.00,0,0.35,0
4161,48.33,-8.25,2.00,0,0.35,0
4162,48.34,-9.14,2.00,0,0.35,0
4163,48.35,-9.73,2.00,0,0.35,0
4164,48.36,-10.56,1.00,0,0.18,0
4165,48.37,-11.23,1.00,0,0.18,0
4166,48.38,-11.88,1.00,0,0.18,0
4167,48.40,-12.52,1.00,0,0.18,0
4168,48.41,-13.14,1.00,0,0.18,0
4169,48.42,-13.73,1.00,0,0.18,0
4170,48.44,-14.26,1.00,0,0.18,0
4171,48.45,-14.75,1.00,0,0.18,0
4172,48.47,-15.47,1.00,0,0.18,0
4173,48.48,-15.70,1.00,0,0.18,0
4174,48.50,-16.18,1.00,0,0.18,0
4175,48.52,-16.76,1.00,0,0.18,0
4176,48.53,-16.95,1.00,0,0.18,0
4177,48.55,-17.37,1.00,0,0.18,0
4178,48.57,-17.96,1.00,0,0.18,0
4179,48.59,-18.08,1.00,0,0.18,0
4180,48.60,-18.54,1.00,0,0.18,0
4181,48.62,-18.90,1.00,0,0.18,0
4182,48.64,-19.32,1.00,0,0.18,0
4183,48.66,-19.51,0.00,0,0.00,0
4184,48.68,-19.96,0.00,0,0.00,0
4185,48.70,-20.30,0.00,0,0.00,0
4186,48.72,-20.72,0.00,0,0.00,0
4187,48.74,-21.10,0.00,0,0.00,0
4188,48.77,-21.58,0.00,0,0.00,0
4189,48.79,-21.69,0.00,0,0.00,0
4190,48.81,-22.18,0.00,0,0.00,0
4191,48.83,-22.52,0.00,0,0.00,0
4192,48.85,-22.89,0.00,0,0.00,0
4193,48.88,-23.18,0.00,0,0.00,0
4194,48.90,-23.47,0.00,0,0.00,0
4195,48.93,-23.77,0.00,0,0.00,0
4196,48.95,-24.00,0.00,0,0.00,0
4197,48.97,-24.31,0.00,0,0.00,0
4198,49.00,-24.55,0.00,0,0.00,0
4199,49.02,-24.88,0.00,0,0.00,0
4200,49.05,-25.04,0.00,0,0.00,0
4201,49.07,-25.37,0.00,0,0.00,0
4202,49.10,-25.53,0.00,0,0.00,0
4203,49.12,-25.88,2.00,0,0.35,0
4204,49.15,-26.11,16.00,0,2.82,0
4205,49.18,-26.00,42.00,0,7.39,0
4206,49.20,-25.21,66.00,0,11.62,0
4207,49.23,-23.87,87.00,0,15.31,0
4208,49.25,-22.06,102.00,0,17.95,0
