cnt,pos,speed,DTorque,Force
4234,88.3844,0.0083,41,18
4235,88.3844,0.0083,41,18
4236,88.3844,0.0048,41,18
4237,88.3844,0.0048,41,18
4238,88.3844,0.0036,41,18
4239,88.3844,-0.0048,41,18
4240,88.3844,-0.0036,41,18
4241,88.3844,-0.0048,41,18
4242,88.3844,-0.006,41,18
4243,88.3844,-0.006,41,18
4244,88.3844,-0.0048,41,18
4245,88.3844,-0.0024,41,18
4246,88.3844,0,41,18
4247,88.3844,-0.0012,41,18
4248,88.3844,0.0048,41,18
4249,88.3844,0.0048,41,18
4250,88.3844,0.0036,41,18
4251,88.3844,0.0048,41,18
4252,88.3844,0.0012,41,18
4253,88.3844,0.0036,41,18
4254,88.3844,0.0012,41,18
4255,88.3844,0.0012,41,18
4256,88.3844,0.0012,41,18
4257,88.3844,-0.006,41,18
4258,88.3844,-0.006,41,18
4259,88.3844,-0.0048,41,18
4260,88.3844,-0.0024,41,18
4261,88.3844,-0.0012,41,18
4262,88.3844,0.0012,41,18
4263,88.3844,0.0024,41,18
4264,88.3844,0.0036,41,18
4265,88.3844,0.0012,41,18
4266,88.3844,0,41,18
4267,88.3844,0.0012,41,18
4268,88.3844,0.0024,41,18
4269,88.3844,0.0012,41,18
4270,88.3844,0,41,18
4271,88.3844,-0.0024,41,18
4272,88.3844,0.0024,41,18
4273,88.3844,-0.0024,41,18
4274,88.3844,-0.0036,41,18
4275,88.3844,0.0012,41,18
4276,88.3844,0,41,18
4277,88.3844,-0.0012,41,18
4278,88.3844,0.0048,41,18
4279,88.3844,0.0072,41,18
4280,88.3844,0.0012,41,18
4281,88.3844,0.0024,41,18
4282,88.3844,0,41,18
4283,88.3844,0.0012,41,18
4284,88.3844,0.0036,41,18
4285,88.3844,0.0048,41,18
4286,88.3844,0.0048,41,18
4287,88.3844,0.0012,41,18
4288,88.3844,0.0024,41,18
4289,88.3844,0.0012,41,18
4290,88.3844,0,41,18
4291,88.3844,-0.0048,41,18
4292,88.3844,0,41,18
4293,88.3844,-0.0012,41,18
4294,88.3844,0.0012,41,18
4295,88.3844,0.0012,41,18
4296,88.3844,0.0012,41,18
4297,88.3844,-0.0036,41,18
4298,88.3844,0.0024,41,18
4299,88.3844,0,41,18
4300,88.3844,-0.0012,41,18
4301,88.3844,-0.0012,41,18
4302,88.3844,0,41,18
4303,88.3844,0.0048,41,18
4304,88.3844,0.0012,41,18
4305,88.3844,-0.0012,41,18
4306,88.3844,0,41,18
4307,88.3844,0.0012,41,18
4308,88.3844,0.0012,41,18
4309,88.3844,0.006,41,18
4310,88.3844,0.0036,41,18
4311,88.3844,0.0048,41,18
4312,88.3844,0.0024,41,18
4313,88.3844,0.0012,41,18
4314,88.3844,-0.0012,41,18
4315,88.3844,-0.0012,41,18
4316,88.3844,0.0036,41,18
4317,88.3844,0.0012,41,18
4318,88.3844,0.0036,41,18
4319,88.3844,0.0024,41,18
4320,88.3844,0.0012,41,18
4321,88.3844,-0.0024,41,18
4322,88.3844,-0.0024,41,18
4323,88.3844,0,41,18
